stethography,rrvalues
-1.5132,0.663
-1.0615,0.667
0.8604,0.675
1.702,0.682
0.9992,0.684
-0.5229,0.705
-1.3262,0.709
-0.8248,0.72
0.9807,0.715
1.6739,0.69
0.8602,0.68
-0.4477,0.689
-1.0172,0.682
-0.684,0.68
0.9276,0.661
1.633,0.658
1.0439,0.664
0.0556,0.662
-0.7126,0.649
-0.6223,0.636
-0.4901,0.621
-0.9386,0.617
-0.2618,0.637
1.5823,0.64
2.1685,0.63
1.5471,0.639
-0.2287,0.667
-1.2546,0.667
0.2605,0.681
1.8976,0.691
2.1319,0.671
1.2196,0.667
-0.4963,0.682
-1.6299,0.673
-0.3688,0.655
1.3372,0.672
1.5106,0.654
0.6348,0.651
-1.1109,0.665
-1.781,0.672
-0.0975,0.672
1.4931,0.677
1.4495,0.661
0.2546,0.678
-1.2098,0.675
-1.6044,0.695
-0.3453,0.68
1.3265,0.669
1.5494,0.672
0.4821,0.647
-0.9043,0.669
-1.4701,0.682
-0.7476,0.688
1.1348,0.691
1.7673,0.684
0.9059,0.683
-0.6525,0.687
-1.3802,0.691
-1.0235,0.68
0.7882,0.685
1.7877,0.668
1.4336,0.665
0.0227,0.657
-1.1692,0.666
-1.2992,0.677
0.1386,0.682
1.4841,0.66
1.8251,0.686
1.2599,0.684
-0.0684,0.696
-1.0826,0.699
-1.1731,0.716
-0.2765,0.691
1.2842,0.706
1.6938,0.7
1.0635,0.703
-0.4437,0.694
-1.3909,0.691
-1.3601,0.681
0.1152,0.66
1.3873,0.647
1.741,0.643
1.3351,0.635
0.4093,0.641
-0.855,0.68
-1.1223,0.662
-0.6766,0.648
-0.7851,0.634
0.3853,0.686
1.7708,0.661
1.8735,0.68
0.8701,0.683
-0.5782,0.671
-1.128,0.675
-0.3649,0.676
1.2833,0.654
2.0971,0.634
2.9899,0.624
3.5469,0.601
3.5866,0.612
1.7728,0.648
-0.8773,0.686
-2.4781,0.657
-2.6814,0.687
-2.2381,0.672
-1.1979,0.674
0.8198,0.666
1.8996,0.641
1.7699,0.637
1.0025,0.645
-0.5925,0.652
-1.4669,0.655
-1.4014,0.667
-1.0699,0.669
-0.6695,0.663
0.6842,0.651
1.711,0.648
1.6473,0.637
0.8405,0.649
-0.7343,0.657
-1.3348,0.661
-0.0776,0.649
1.4935,0.663
1.8704,0.637
1.2522,0.647
-0.2303,0.656
-1.5052,0.671
-0.4519,0.648
1.143,0.674
1.5032,0.641
0.9395,0.669
-0.49,0.664
-1.6758,0.679
-1.194,0.689
0.7438,0.694
1.5258,0.689
0.8829,0.689
-0.7613,0.693
-1.646,0.701
-0.8332,0.691
0.8919,0.68
1.707,0.674
1.3606,0.642
0.1645,0.67
-1.2719,0.671
-1.5528,0.699
0.1524,0.714
1.3219,0.707
1.1033,0.706
0.0097,0.73
-1.2459,0.737
-1.296,0.698
-0.7056,0.676
0.6866,0.648
1.2831,0.631
0.4963,0.636
-0.9568,0.651
-1.6668,0.663
-1.2758,0.671
0.3751,0.684
1.3384,0.666
1.0599,0.673
-0.3458,0.668
-1.4781,0.664
-1.2268,0.665
0.6301,0.662
1.68,0.661
1.3893,0.68
0.4845,0.68
-0.8628,0.679
-1.4679,0.69
-0.7193,0.687
0.9192,0.681
1.3863,0.657
0.6332,0.668
-0.7307,0.656
-1.3355,0.658
-1.1622,0.669
0.1682,0.66
1.1695,0.685
0.7261,0.698
-0.419,0.708
-1.1055,0.728
-0.3122,0.746
1.1837,0.72
1.4124,0.737
0.1619,0.727
-1.2119,0.707
-1.293,0.688
-0.1296,0.701
1.1997,0.688
1.5727,0.688
0.989,0.715
-0.786,0.742
-1.35,0.744
-0.3456,0.733
1.2719,0.739
1.7932,0.738
1.224,0.711
-0.2135,0.718
-1.2349,0.705
-0.6793,0.693
1.026,0.681
1.7608,0.681
1.4152,0.675
0.2918,0.684
-1.3156,0.684
-1.7254,0.674
-0.0221,0.673
1.2217,0.664
1.2721,0.66
0.1914,0.671
-1.2532,0.674
-1.4217,0.684
0.2714,0.682
1.376,0.699
1.0959,0.699
-0.155,0.714
-1.3722,0.726
-0.8382,0.724
0.8075,0.704
1.4437,0.684
0.8857,0.681
-0.4587,0.685
-1.372,0.682
-0.666,0.691
0.7788,0.676
1.3248,0.695
0.7954,0.712
-0.6072,0.725
-1.3885,0.743
-1.1246,0.75
0.3824,0.722
0.7813,0.715
0.9145,0.668
-0.02,0.676
-1.0591,0.684
-1.2338,0.687
-0.239,0.673
1.2174,0.708
1.7881,0.7
1.5218,0.703
0.124,0.739
-1.2705,0.773
-0.5944,0.753
1.0292,0.749
1.5228,0.747
1.0759,0.735
-0.1881,0.734
-1.3878,0.722
-1.4835,0.71
-0.1531,0.691
1.0949,0.691
1.4721,0.682
1.0657,0.683
-0.2804,0.714
-1.3259,0.74
-0.5396,0.775
1.0786,0.747
1.3431,0.763
0.6527,0.738
-0.8733,0.74
-1.6524,0.723
-0.7256,0.71
0.9218,0.695
1.5644,0.685
1.2805,0.689
0.4904,0.668
-0.7207,0.656
-1.1809,0.648
-0.096,0.642
1.1867,0.659
1.4664,0.681
0.977,0.72
-0.4586,0.738
-1.4294,0.771
-1.3927,0.733
-0.8742,0.715
-0.6844,0.684
0.5175,0.683
1.7003,0.682
1.7288,0.652
0.8911,0.663
-0.6888,0.668
-1.1907,0.67
0.2274,0.687
1.4423,0.656
1.5985,0.67
0.9102,0.662
-0.7511,0.678
-1.601,0.679
-0.2797,0.689
1.1361,0.669
1.4652,0.662
1.0979,0.675
-0.0411,0.657
-1.2208,0.668
-1.3559,0.688
0.1607,0.678
1.3896,0.682
1.4396,0.672
0.6306,0.701
-0.9414,0.69
-1.6652,0.704
-0.5982,0.724
1.1947,0.698
1.6228,0.694
0.6592,0.711
-0.8944,0.682
-1.4169,0.681
-0.6136,0.684
1.0808,0.666
1.87,0.659
1.6035,0.67
0.362,0.709
-1.0913,0.726
-1.1784,0.755
0.6796,0.738
1.7072,0.726
1.3701,0.731
0.1005,0.717
-1.2084,0.702
-1.1209,0.692
0.6199,0.68
1.5647,0.677
1.3143,0.655
0.0915,0.641
-1.1427,0.661
-1.5123,0.696
-0.4242,0.682
1.1591,0.701
1.6168,0.691
0.9412,0.722
-0.6531,0.715
-1.4818,0.699
-0.2246,0.696
1.2008,0.671
1.3567,0.66
0.5698,0.637
-0.74,0.671
-1.5509,0.669
-0.3977,0.704
1.104,0.716
1.3419,0.706
0.3334,0.739
-1.0238,0.736
-1.5537,0.723
-0.1302,0.711
1.1684,0.695
1.3569,0.668
0.5476,0.667
-0.8428,0.678
-1.6307,0.667
-0.9442,0.674
0.8047,0.684
0.9346,0.674
1.0123,0.642
0.0808,0.643
-1.147,0.7
-1.3478,0.709
0.4164,0.717
1.5854,0.72
1.1843,0.735
-0.1249,0.741
-1.2252,0.71
-0.9147,0.697
0.9489,0.683
1.6926,0.647
1.3347,0.641
0.0696,0.655
-1.3886,0.685
-0.8977,0.717
0.9743,0.73
1.4356,0.756
0.4249,0.774
-1.2012,0.783
-1.3738,0.782
0.4824,0.742
1.5844,0.711
1.2291,0.71
-0.1486,0.708
-1.2756,0.67
-1.1365,0.674
0.5047,0.667
1.4795,0.682
1.3384,0.688
0.198,0.725
-1.0847,0.754
-0.9894,0.769
0.8895,0.765
1.4831,0.741
0.8131,0.748
-0.275,0.714
-1.1772,0.673
-1.2823,0.664
-1.1061,0.64
-0.737,0.614
-0.7843,0.63
-0.072,0.627
1.5028,0.661
2.0533,0.689
1.4055,0.716
-0.421,0.737
-1.1693,0.762
0.4094,0.744
1.913,0.719
1.8374,0.702
1.0846,0.687
-0.5659,0.655
-1.5346,0.638
-0.5093,0.637
1.1007,0.659
1.5459,0.67
0.6713,0.687
-1.2179,0.724
-1.6737,0.743
0.3498,0.75
1.5297,0.736
1.1491,0.73
-0.5826,0.73
-1.8172,0.707
-1.1306,0.695
0.7901,0.682
1.5059,0.666
0.9368,0.645
-0.3277,0.649
-1.4172,0.65
-1.1427,0.696
0.7722,0.702
1.5565,0.682
1.1212,0.693
-0.5151,0.721
-1.5447,0.711
-1.4115,0.714
-0.2139,0.695
1.2894,0.695
1.7772,0.666
1.3542,0.668
-0.0529,0.666
-1.272,0.697
-1.4222,0.697
-0.384,0.705
1.2346,0.692
1.6603,0.693
1.0562,0.692
-0.2748,0.705
-1.188,0.711
-0.7675,0.715
0.947,0.693
1.601,0.709
1.0236,0.718
-0.3989,0.705
-1.3354,0.681
-1.2104,0.652
-0.7704,0.625
-0.7514,0.632
-0.1021,0.63
1.4513,0.655
2.0438,0.656
1.4705,0.672
0.1427,0.709
-1.0238,0.719
-0.279,0.707
1.2749,0.696
2.351,0.696
2.9927,0.67
2.7307,0.653
1.4915,0.66
-0.5484,0.677
-2.1034,0.68
-2.608,0.666
-2.1339,0.666
-1.2091,0.662
0.3199,0.676
0.9957,0.689
1.1151,0.685
0.5574,0.729
-0.7839,0.729
-1.5182,0.719
-1.3653,0.737
-0.3012,0.698
1.1922,0.706
1.629,0.69
0.3867,0.673
-0.1052,0.664
-1.0583,0.653
-1.2074,0.658
0.2609,0.695
1.2667,0.654
1.4686,0.679
0.9987,0.7
-0.3619,0.708
-0.7183,0.688
0.2196,0.691
1.3141,0.676
1.7026,0.673
1.4011,0.655
0.5432,0.659
-0.7955,0.658
-0.9928,0.66
0.0429,0.671
1.0537,0.692
1.1914,0.691
0.5259,0.709
-0.5439,0.715
-0.6516,0.671
-0.5158,0.644
-0.606,0.618
-0.6014,0.628
0.5316,0.634
1.3744,0.623
1.5248,0.635
0.9454,0.658
-0.4777,0.689
-0.8918,0.702
0.3012,0.712
1.3105,0.707
1.4665,0.685
0.8026,0.694
-0.6031,0.675
-0.7698,0.659
0.4274,0.659
1.1936,0.666
1.1297,0.663
0.2468,0.678
-0.8613,0.682
-0.9734,0.681
0.0013,0.658
1.019,0.657
1.2305,0.642
0.8297,0.634
-0.2373,0.642
-0.7566,0.638
0.2284,0.644
1.3581,0.643
1.6977,0.631
1.3925,0.631
0.2855,0.651
-0.7858,0.66
-0.865,0.683
0.3799,0.667
1.3723,0.667
1.4133,0.645
0.9123,0.641
0.0327,0.65
-0.9624,0.625
-0.9705,0.616
-0.5246,0.592
-0.7475,0.583
-0.4195,0.604
1.0941,0.612
1.7369,0.63
1.3848,0.648
-0.043,0.69
-1.0525,0.7
-0.0588,0.705
1.2417,0.69
1.5113,0.668
0.6178,0.644
-1.0335,0.639
-1.553,0.638
-0.6819,0.646
0.8805,0.656
1.4151,0.645
1.0515,0.648
-0.0271,0.686
-1.1276,0.697
-1.2691,0.703
0.0485,0.696
1.1188,0.692
1.1289,0.691
0.1943,0.692
-1.0233,0.676
-1.3121,0.68
-0.1155,0.653
0.9683,0.674
1.1861,0.647
0.5243,0.668
-0.7842,0.68
-1.3413,0.661
-0.066,0.677
0.9463,0.67
0.8965,0.647
-0.1363,0.661
-1.1369,0.666
-1.438,0.642
-0.1029,0.641
0.731,0.64
1.0141,0.656
0.4996,0.665
-0.6821,0.697
-1.2296,0.702
-0.3752,0.715
0.734,0.688
1.057,0.697
0.5559,0.707
-0.7024,0.676
-1.1982,0.687
-0.6893,0.679
0.621,0.668
1.1027,0.661
0.6621,0.656
-0.4658,0.658
-1.1829,0.659
-0.9786,0.669
0.3114,0.66
1.058,0.667
0.8607,0.669
-0.8386,0.649
-1.3602,0.68
-1.2922,0.634
-0.111,0.608
1.0747,0.622
1.5005,0.61
0.7958,0.65
-0.5678,0.653
-1.0096,0.667
0.3355,0.658
1.2984,0.662
1.3977,0.652
0.8202,0.636
-0.3644,0.647
-1.0986,0.645
-0.1735,0.653
0.8835,0.645
1.0063,0.654
0.3534,0.671
-0.7282,0.687
-1.1731,0.656
-0.4063,0.655
0.783,0.651
1.2048,0.633
1.0186,0.633
0.1638,0.647
-1.0414,0.664
-1.3379,0.695
-0.1094,0.699
0.9292,0.701
0.2328,0.712
-0.8169,0.704
-0.7158,0.7
0.5523,0.694
1.433,0.663
1.2451,0.667
-0.0364,0.665
-0.9428,0.653
-0.8672,0.657
0.5046,0.663
1.3839,0.664
1.3144,0.672
0.4541,0.701
-0.8318,0.731
-1.0755,0.722
0.1049,0.729
1.1437,0.701
1.1321,0.703
0.0259,0.695
-0.9702,0.7
-0.8363,0.701
-0.5914,0.698
-0.4306,0.703
0.2911,0.705
1.105,0.683
1.1217,0.713
0.2822,0.719
-0.6903,0.744
-0.6348,0.735
0.066,0.734
0.9967,0.726
1.1066,0.697
0.3972,0.711
-0.629,0.714
-0.9896,0.746
-0.7074,0.739
0.0779,0.722
0.9382,0.754
0.9171,0.733
0.2778,0.754
-0.7976,0.751
-0.8592,0.748
-0.6394,0.75
0.2059,0.723
0.9417,0.721
0.9351,0.714
0.4664,0.74
-0.5247,0.756
-0.8691,0.771
-0.6615,0.792
-0.2907,0.788
0.6526,0.773
1.0835,0.76
0.982,0.753
0.1478,0.738
-0.8503,0.7
-0.9813,0.708
-0.6162,0.706
0.4192,0.744
1.0357,0.755
0.9345,0.793
-0.4717,0.821
-0.8097,0.795
-0.5977,0.788
-0.0392,0.767
0.8945,0.757
0.7163,0.703
-0.405,0.666
-0.6931,0.634
-0.334,0.608
-0.3956,0.63
-0.4196,0.647
0.1958,0.66
1.1701,0.682
1.5532,0.699
1.5643,0.719
0.1265,0.756
-1.041,0.771
-0.9551,0.768
0.4002,0.737
1.054,0.732
0.7596,0.729
-0.4223,0.736
-0.7527,0.752
-0.6915,0.775
-0.1381,0.774
0.9005,0.773
1.0735,0.769
-0.0061,0.762
-0.7325,0.753
-0.6147,0.752
-0.497,0.748
-0.3834,0.744
0.1032,0.73
1.0034,0.748
1.0534,0.756
0.3558,0.785
-0.6102,0.816
-0.6026,0.825
-0.1555,0.809
0.8507,0.788
1.1625,0.761
0.885,0.759
-0.1228,0.771
-0.8903,0.796
-0.8092,0.828
-0.3929,0.833
0.664,0.828
1.1164,0.801
0.742,0.791
-0.3296,0.805
-0.8845,0.789
-0.7196,0.775
-0.5183,0.76
-0.3686,0.745
-0.084,0.752
0.8825,0.753
1.4365,0.757
1.2495,0.766
0.2591,0.797
-0.8013,0.804
-0.91,0.791
-0.4322,0.783
0.7766,0.778
1.2848,0.741
0.9306,0.728
-0.2215,0.73
-1.0357,0.742
-1.0138,0.773
-0.3964,0.79
0.7686,0.791
1.0864,0.79
0.46,0.811
-0.6013,0.808
-0.8348,0.799
-0.6058,0.797
0.3425,0.779
1.1336,0.771
0.8694,0.779
-0.1725,0.793
-0.8556,0.781
-0.6875,0.793
-0.0002,0.783
0.9713,0.771
1.4177,0.764
0.4949,0.739
-0.7815,0.749
-0.7431,0.769
0.157,0.787
1.5394,0.761
1.7611,0.745
0.903,0.774
-0.4271,0.776
-0.6969,0.75
-0.5014,0.695
-0.2724,0.661
0.2623,0.676
1.1929,0.682
1.3324,0.708
0.3734,0.764
-0.5906,0.798
-0.5244,0.819
0.4802,0.798
1.067,0.78
0.5522,0.781
-0.378,0.771
-0.5274,0.767
0.025,0.752
1.029,0.734
1.2441,0.738
0.5514,0.768
-0.4447,0.796
-0.6623,0.806
0.0137,0.795
0.9643,0.778
0.8012,0.755
0.0001,0.747
-0.7093,0.73
0.0067,0.716
0.9504,0.724
1.0352,0.722
0.1958,0.744
-0.6606,0.766
-0.1952,0.808
0.7685,0.788
0.7609,0.788
-0.1396,0.776
-0.6431,0.762
0.5177,0.705
1.1734,0.712
1.4853,0.662
0.8943,0.673
0.2331,0.679
-0.5766,0.7
-0.8988,0.712
-0.8438,0.716
1.9939,0.709
4.6514,0.706
5.2717,0.688
4.1073,0.699
1.5175,0.752
-1.4753,0.741
-3.1022,0.722
-2.5453,1.388
-1.7646,0.628
-1.179,0.638
-0.8296,0.61
-0.416,1.409
0.182,0.723
1.8602,0.732
2.6368,0.728
2.0517,0.727
0.0219,0.744
-1.1352,0.733
-1.1622,0.736
-0.518,0.786
0.1585,0.646
0.8982,0.68
0.7193,0.694
-0.3192,0.71
-0.8782,0.728
-0.7552,0.774
-0.0865,0.791
1.0509,0.792
1.2529,0.772
0.7408,0.777
-0.5029,0.783
-0.7004,0.784
-0.3459,0.776
0.5441,0.763
0.8657,0.728
1.3129,0.717
0.6592,0.738
0.3619,0.757
0.7798,0.764
1.2664,0.795
1.339,0.794
0.3636,0.791
-0.4203,0.8
-0.9426,0.782
-0.1624,0.75
0.7607,0.74
0.7601,0.744
-0.1269,0.752
-0.8297,0.766
-0.9909,0.773
-0.3254,0.752
0.8762,0.755
1.1634,0.754
0.5248,0.802
-0.6589,0.828
-0.9523,0.86
0.0192,0.845
1.0697,0.808
1.0493,0.795
0.1918,0.795
-0.7024,0.797
-0.6822,0.784
0.4688,0.754
1.0895,0.762
1.1498,0.756
0.2128,0.781
-1.0258,0.767
-1.2951,0.735
-1.0572,0.699
-0.7902,0.662
-0.7282,0.687
-0.5574,0.722
0.2697,0.762
1.178,0.776
1.0494,0.789
0.4358,0.813
-0.2074,0.817
-0.638,0.813
-0.6149,0.812
0.3421,0.782
1.1104,0.768
1.16,0.757
0.8169,0.79
-0.4197,0.865
-1.0502,0.867
-0.3623,0.869
1.1472,0.865
1.4224,0.848
0.5773,0.856
-0.7411,0.83
-1.0346,0.808
-0.6075,0.764
0.5374,0.748
1.1687,0.727
0.833,0.725
0.1276,0.735
-0.5032,0.809
-0.351,0.868
0.8104,0.873
1.0706,0.854
-0.0276,0.865
-0.8376,0.843
-0.5579,0.817
0.5702,0.782
1.1261,0.76
0.8429,0.761
-0.2689,0.778
-0.7818,0.792
-0.2225,0.803
0.8962,0.827
1.2636,0.831
0.6554,0.846
-0.7784,0.867
-1.1371,0.83
-0.0587,0.809
1.092,0.792
1.4204,0.786
1.2035,0.779
-0.2004,0.785
-1.2163,0.786
-0.6405,0.794
0.7419,0.795
1.2801,0.796
0.91,0.798
-0.5142,0.821
-1.1375,0.82
0.233,0.821
1.2134,0.8
1.0915,0.815
-0.321,0.831
-1.1899,0.83
-0.1276,0.817
1.1152,0.824
1.0731,0.821
0.2234,0.826
-0.7892,0.809
-0.4651,0.8
0.8969,0.782
1.2183,0.787
0.3448,0.814
-0.7563,0.838
-0.9108,0.851
0.3931,0.806
1.3124,0.813
1.0414,0.806
-0.1589,0.825
-1.1058,0.807
-0.8938,0.799
0.4094,0.778
1.1994,0.77
0.9787,0.766
-0.0159,0.775
-0.8729,0.78
-0.6904,0.75
-0.4635,0.747
-0.5936,0.783
0.6523,0.764
1.6258,0.787
1.347,0.792
-0.068,0.795
-0.8811,0.787
-0.2697,0.781
1.1453,0.758
1.4178,0.747
0.8218,0.761
-0.1876,0.778
-0.9361,0.827
0.1522,0.831
1.2633,0.8
0.9971,0.794
-0.0405,0.811
-0.5686,0.809
0.4509,0.788
1.4535,0.787
1.0466,0.785
-0.2911,0.799
-0.7343,0.801
0.5805,0.794
1.2534,0.787
0.6016,0.808
-0.5128,0.806
-0.7153,0.804
0.5102,0.781
1.2025,0.773
0.686,0.778
-0.7012,0.801
-1.0829,0.802
0.1254,0.787
1.0849,0.766
0.7482,0.767
-0.4928,0.77
-1.1008,0.788
-0.7332,0.815
0.5848,0.811
1.1042,0.812
0.3041,0.838
-0.956,0.826
-0.8085,0.807
0.6222,0.772
1.2409,0.767
0.5206,0.771
-0.7738,0.785
-0.8109,0.805
0.6115,0.801
1.1646,0.785
0.5583,0.794
-0.5909,0.794
-0.5635,0.794
0.8309,0.789
1.2415,0.779
0.6645,0.799
-0.6608,0.808
-0.9163,0.813
0.3553,0.789
1.2672,0.78
0.8825,0.774
-0.167,0.767
-0.7767,0.781
0.5199,0.764
1.3163,0.748
0.2376,0.727
1.7054,0.776
-0.0692,0.753
-1.3858,0.75
-1.313,0.719
-0.9031,0.686
-0.8917,0.668
-1.0889,0.707
-0.4366,0.72
1.04,0.734
1.4724,0.741
0.6369,0.762
-0.6998,0.782
-0.9217,0.812
-0.1017,0.783
1.1686,0.784
1.3478,0.776
0.6143,0.789
-0.5638,0.791
-0.9834,0.795
0.1471,0.791
1.1732,0.779
0.4375,0.796
-1.3758,0.781
-1.9741,0.767
-0.8342,0.763
0.9672,0.77
1.356,0.785
0.4829,0.805
-0.7274,0.83
-0.8086,0.855
0.4695,0.843
1.3143,0.806
0.8464,0.812
-0.4365,0.805
-0.845,0.799
-0.3869,0.8
0.8622,0.795
1.3348,0.795
0.974,0.805
-0.1073,0.833
-1.0605,0.844
-0.81,0.858
0.4087,0.84
1.2864,0.836
1.0678,0.834
-0.1726,0.849
-0.7649,0.817
0.0898,0.823
1.1185,0.792
1.1113,0.774
0.1456,0.786
-0.8466,0.779
-0.2513,0.793
0.9276,0.817
1.0453,0.827
-0.0461,0.838
-0.7185,0.833
